Player,Team,Batting Innings,Runs,Bowling Innings,Wickets
LA Carseldine,Rajasthan Royals,5.0,81.0,1.0,1.0
CR Brathwaite,Sunrisers Hyderabad,4.0,81.0,4.0,5.0
HH Gibbs,Mumbai Indians,3.0,81.0,0.0,0.0
WPUJC Vaas,Deccan Chargers,11.0,81.0,13.0,18.0
Shahid Afridi,Deccan Chargers,9.0,81.0,10.0,9.0
TL Suman,Mumbai Indians,8.0,80.0,3.0,0.0
DT Christian,Rising Pune Supergiant,9.0,79.0,13.0,11.0
PJ Cummins,Delhi Capitals,8.0,77.0,12.0,15.0
CH Morris,Rajasthan Royals,7.0,76.0,11.0,13.0
AB McDonald,Delhi Capitals,5.0,76.0,6.0,5.0
TR Birt,Delhi Capitals,5.0,75.0,0.0,0.0
SD Chitnis,Kings XI Punjab,5.0,75.0,0.0,0.0
M Klinger,Kochi Tuskers Kerala,4.0,73.0,0.0,0.0
KP Pietersen,Rising Pune Supergiant,4.0,73.0,0.0,0.0
RR Sarwan,Kings XI Punjab,4.0,73.0,0.0,0.0
M Kartik,Kolkata Knight Riders,7.0,73.0,25.0,16.0
R Singh,Kolkata Knight Riders,7.0,73.0,0.0,0.0
PA Reddy,Deccan Chargers,3.0,73.0,0.0,0.0
S Rana,Royal Challengers Bangalore,7.0,73.0,2.0,0.0
L Livingstone,Rajasthan Royals,4.0,72.0,1.0,0.0
Y Venugopal Rao,Sunrisers Hyderabad,5.0,71.0,2.0,0.0
